Year,PackID,femaleID,DenID,litter.size,adults,female.age,viewshed,vrm,fence_dist,slope
2009,Dojo,Riley,WDD012,6,5,2,0,0.01040554,347.631659,16.14095116
2010,Shiyane,Roxie,WDD012,9,8,3,0,0.01040554,347.631659,16.14095116
2010,Ume,Furaha,WDD020,10,12,5,0,0.000957277,8748.212721,1.100744605
2011,Shiyane,Roxie,WDD012,11,13,4,0,0.01040554,347.631659,16.14095116
2014,Dela & Zeus,Dela,WDD005,8,2,4,15.69128936,0.002799769,5809.272432,18.55923283
2010,Mhlanganweni,Hadlee,WDD019,6,6,3,41.6262,0.000366741,801.749392,25.85485268
2013,Mary's,Battie,WDD031,3,6,3,56.5488,0.006991386,7380.320155,4.051700115
2010,Juma,Cygnus,WDD018,0,7,6,68.3298,0.01609548,435.769361,5.688851833
2013,Dengezi,Lyra,WDD030,0,5,4,80.1108,0.006811884,6168.000655,27.92126274
2009,Shiyane,Roxie,WDD015,9,9,2,83.2524,0.000218709,4105.013351,3.86768055
2014,Tshokolwane,Hadlee,WDD010,10,8,7,92.62134933,0.001955354,627.336291,19.76873813
2014,Crossroads,Fossey,WDD007,11,3,3,99.64947736,0.002613609,3014.613987,4.817033344
2014,Madlozi,Feather,WDD036,2,6,3,105.7060318,0.001254099,2193.226735,6.522501357
2015,Alfie's,Hazel,WDD048,7,5,6,106.029,0.000426928,9699.74,3.363670588
2010,Izinyosi,Cloud,WDD017,0,5,3,107.5998,0.021685282,552.806,17.76176834
2011,Izinyosi,Cloud,WDD022,3,3,4,107.5998,0.021685282,504.313252,17.76176834
2012,Masinda,Caia,WDD022,5,2,5,107.5998,0.021685282,504.313252,17.76176834
2013,Crossroads,Fossey,WDD007,6,3,3,118.8572,0.000074589,2431.654838,2.308615605
2013,Shiyane,Roxie,WDD026,0,6,6,149.226,0.000922839,104.073173,10.49325371
2010,Nombali,Saffron,WDD007,4,4,7,156.2912,6.66E-05,2482.837767,2.884832052
2015,Crossroads,Fossey,WDD045,8,6,4,169.4628953,0.006334663,2735.721308,2.110670979
2015,Madlozi,Feather,WDD041,2,6,3,231.693,0.001063029,904.992017,28.84518051
2013,Alfie's,Brodie,WDD029,8,6,3,295.3104,0.0000677,6563.443875,1.860299468
2009,Nombali,Saffron,WDD013,8,5,6,311.0184,0.0000337,2694.393873,5.266526699
2012,Crossroads,Solo,WDD025,0,6,2,501.4779,0.000080464,3396.96,1.946057677
2015,Tshokolwane,Hadlee,WDD046,8,8,8,691.4813613,0.00207028,1196.648129,23.36410609
2010,Dojo,Riley,WDD003,1,6,3,1770.6843,0.006366412,144.1025475,5.190594316
2014,Alfie's,Brodie,WDD032,8,3,3,1838.50101,0.0001429,2378.171071,1.283847973
2012,Ume,Furaha,WDD027,0,5,7,2406.8583,0.006617615,227.2267505,7.869688037
