Year,PackName,FemaleName,DenID,site,YearID,viewshed,vrm,slope,fence_dist,ID
2010,Izinyosi,Cloud,WDD017,1,1,107.5998,0.021685282,17.76176834,552.806,1
2009,Nombali,Saffron,WDD013,1,1,311.0184,3.37E-05,5.266526699,2826.03,2
2009,Shiyane,Roxie,WDD015,1,1,83.2524,0.000218709,3.86768055,4428.81,3
2010,Dojo,Riley,WDD003,1,1,2408.0364,0.000693427,9.1453619,170.637,4
2010,Juma,Cygnus,WDD018,1,1,68.3298,0.01609548,5.688851833,447.548,5
2010,Mhlanganweni,Hadlee,WDD019,1,1,41.6262,0.000366741,25.85485268,817.812,6
2010,Ume,Furaha,WDD020,1,1,0,0.000957277,1.100744605,9222.71,7
2009,Dojo,Riley,WDD012,1,1,0,0.01040554,16.14095116,360.979,8
2012,Crossroads,Solo,WDD024,1,1,775.1898,0.000105328,0.779905796,3331.15,9
2012,Masinda,Caia,WDD022,1,1,107.5998,0.021685282,17.76176834,552.806,10
2012,Ume,Furaha,WDD027,1,1,995.8872,3.68E-05,4.292678833,308.688,11
2013,Alfies,Brodie,WDD029,1,1,295.3104,6.77E-05,1.860299468,6667.04,12
2013,Dengezi,Lyra,WDD030,1,1,80.1108,0.006811884,27.92126274,6363.75,13
2013,Marys,Battie,WDD031,1,1,56.5488,0.006991386,4.051700115,7528.05,14
2012,Shiyane,Roxie,WDD026,1,1,149.226,0.000922839,10.49325371,106.922,15
2014,Alfies,Brodie,WDD032,1,1,1435.7112,0.000158416,0.923967421,2357.69,16
2014,Crossroads,Fossey,WDD007,1,1,83.2524,5.69E-05,1.757454634,2545.59,17
2014,Dela&Zeus,Dela,WDD005,1,1,3.927,0.000382423,18.66130829,6872.56,18
2014,Madlozi,Feather,WDD036,1,1,107.5998,0.000606749,5.250098228,1717.96,19
2014,Tshokolwane,Hadlee,WDD010,1,1,202.6332,0.00103728,16.52522278,593.641,20
2009,Nombali,Saffron,WDD014,1,2,1141.9716,0.000165621,9.06440258,172.09,21
2012,Ume,Furaha,WDD028,1,2,3817.8294,0.013198429,11.44669724,164.841,22
2014,Alfies,Brodie,WDD033,1,2,5114.5248,1.67E-05,4.210876465,3065.97,23
2014,Crossroads,Fossey,WDD034,1,2,65.9736,0.007065137,9.2149086,4171.4,24
2014,Dela&Zeus,Dela,WDD035,1,2,4102.9296,0.031033834,16.86044502,6374.92,25
2014,Madlozi,Feather,WDD037,1,2,7.854,0.003418499,9.088694572,3881.48,26
2014,Madlozi,Feather,WDD038,1,2,250.5426,0.000277837,5.539242744,5285.68,27
2014,Madlozi,Feather,WDD039,1,2,239.547,0.003162384,14.80863094,1416.14,28
2015,Madlozi,Feather,WDD041,1,2,231.693,0.001063029,28.84518051,965.367,29
2014,Tshokolwane,Hadlee,WDD043,1,2,29.8452,0.002030796,24.96556854,290.571,30
2014,Tshokolwane,Hadlee,WDD044,1,2,28.2744,0.002201928,23.92806816,195.977,31
2010,Dojo,Riley,WDD004,1,1,1133.3322,0.012039397,1.235826731,130.504,32
2010,Nombali,Saffron,WDD008,1,1,262.3236,0.000109567,2.880316257,2559.88,33
2013,Crossroads,Fossey,WDD009,1,1,10.9956,5.73E-05,2.288075924,2573.34,34
2012,Crossroads,Solo,WDD025,1,1,227.766,5.56E-05,3.112209558,3462.77,35
2014,Tshokolwane,Hadlee,WDD011,1,1,8.6394,0.00335492,20.35301781,720.701,36
2015,Crossroads,Fossey,WDD045,1,1,288.2418,0.014984025,2.59732461,2997.68,37
2015,Tshokolwane,Hadlee,WDD046,1,1,1384.6602,0.003887388,20.70730972,1600.74,38
2015,Alfies,Hazel,WDD048,1,1,106.029,0.000426928,3.363670588,9699.74,39
NA,NA,NA,1,0,1,347.1468,0.022504278,4.807731628,4985.15,40
NA,NA,NA,2,0,1,928.3428,0.000372145,15.19312668,966.676,41
NA,NA,NA,3,0,1,640.8864,0.00026989,10.44838715,5669.65,42
NA,NA,NA,4,0,1,159.4362,0.000231425,2.206966877,780.611,43
NA,NA,NA,5,0,1,132.7326,0.00059753,2.777273655,3070.57,44
NA,NA,NA,6,0,1,5095.6752,0.000549104,7.170654774,564.435,45
NA,NA,NA,7,0,1,1518.9636,2.92E-05,7.875775337,4175.29,46
NA,NA,NA,8,0,1,2323.2132,0.000296805,4.632085323,330.388,47
NA,NA,NA,9,0,1,1848.0462,3.21E-05,7.765317917,1771,48
NA,NA,NA,10,0,1,134.3034,2.27E-05,3.738880873,7992.02,49
NA,NA,NA,11,0,1,2446.521,0.003130171,12.65677166,8799.08,50
NA,NA,NA,12,0,1,139.8012,0.000265863,6.72533226,8349.34,51
NA,NA,NA,13,0,1,88.7502,0.001210001,4.957013607,9227.15,52
NA,NA,NA,14,0,1,534.8574,2.13E-05,8.563998222,12196.7,53
NA,NA,NA,15,0,1,739.0614,0.001798418,9.792348862,2668.92,54
NA,NA,NA,16,0,1,3424.344,0.002884547,12.49593544,1134.43,55
NA,NA,NA,17,0,1,3593.205,3.06E-05,5.710845947,5257.39,56
NA,NA,NA,18,0,1,338.5074,4.33E-05,0.63405776,5503.09,57
NA,NA,NA,19,0,1,9.4248,0.000781695,6.105108261,161.817,58
NA,NA,NA,20,0,1,15.708,0.000318845,14.63248062,2783.38,59
NA,NA,NA,21,0,1,7203.6888,0.000116242,0.292503327,1962.87,60
NA,NA,NA,22,0,1,8.6394,0.000416014,19.732481,11616.2,61
NA,NA,NA,23,0,1,4273.3614,0.000226657,7.862104416,4974.82,62
NA,NA,NA,24,0,1,2465.3706,0.000297017,12.33280373,2228.49,63
NA,NA,NA,25,0,1,316.5162,6.70E-05,7.258747101,7883,64
NA,NA,NA,26,0,1,135.0888,2.96E-05,4.029206276,8181.25,65
NA,NA,NA,27,0,1,7422.03,5.96E-05,3.029640913,3933.61,66
NA,NA,NA,28,0,1,1412.9346,0.000545184,22.00944328,946.992,67
NA,NA,NA,29,0,1,194.7792,2.19E-05,4.071932316,6121.13,68
NA,NA,NA,30,0,1,6450.4902,7.22E-05,10.32761955,1890.18,69
NA,NA,NA,31,0,1,1515.822,0.003072633,13.86336517,2144.27,70
NA,NA,NA,32,0,1,46.3386,5.47E-05,1.247280836,822.081,71
NA,NA,NA,33,0,1,988.0332,8.42E-05,11.3843708,1388.88,72
NA,NA,NA,34,0,1,3128.2482,0.000822173,7.193327904,4704.74,73
NA,NA,NA,35,0,1,6018.5202,0.000204616,9.516031265,5464.65,74
NA,NA,NA,36,0,1,820.743,0.000432756,9.032662392,1506.13,75
NA,NA,NA,37,0,1,293.7396,0.000178867,4.420127869,9712.42,76
NA,NA,NA,38,0,1,1195.3788,2.91E-05,2.705585241,5148.65,77
