id,date,time,country,nearest_places,hazard_type,landslide_type,trigger,storm_name,fatalities,injuries,source_name,source_link,comments,location_description,location_accuracy,landslide_size,photos_link,cat_src,cat_id,countryname,near,distance,adminname1,adminname2,population,countrycode,continentcode,key,version,tstamp,changeset_id,latitude,longitude,geolocation
7494,09/25/2015,,,"Barrio Tournon, San Jose",landslide,Landslide,Rain,,0,0,Repretel,http://www.repretel.com/actualidad/rally-amarralo-3337,dog rescued,Urban_area,Known_within_1km,Small,,glc,7494,Costa Rica,San Jos̩,1.16705,San Jos̩,obe,335007,CR,NA,D56hGDdNGk,2,Wed Feb 10 2016 16:47:33 GMT+0000 (UTC),3456375012,9.940200000000001,-84.077100000000002,"(9.9402000000000008, -84.077100000000002)"
249,09/09/2007,,Costa Rica,Heredia,landslide,Landslide,Rain,,,,ticotimes.net,http://www.ticotimes.net/dailyarchive/2007_09/0911072.htm,* many landslides in area brought on by heavy rains from TS and ground saturation,,Known_within_5_km,Medium,,glc,249,Costa Rica,Heredia,0.26208,Heredia,,21947,CR,NA,D58b6sgBW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,10,-84.116699999999994,"(10, -84.116699999999994)"
250,09/09/2007,,Dominica,"entire island, Roseau closed",landslide,Landslide,Rain,Tropical Wave,,,RadioJamaica,http://www.radiojamaica.com/content/view/1156/88/,* knocking out power to much of island,,Known_within_25_km,Medium,,glc,250,Dominica,Roseau,2.59849,Saint George,,16571,DM,NA,SGXR7ZFcU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,15.3055,-61.364199999999997,"(15.3055, -61.364199999999997)"
7541,03/02/2016,8:00,,south bound travel lane of Interstate 91 in Windsor Vermont,landslide,Rock_Fall,Unknown,,0,0,Valley News,http://www.vnews.com/home/21353539-95/loose-ledge,A rockslide that occurred at about 8 a.m. blocked the southbound travel lane of Interstate 91 at mile marker 55 in Windsor until workers from Daniels Construction could remove the rock and debris.,Above_road,Known_within_10km,Small,http://www.vnews.com/csp/mediapool/sites/dt.common.streams.StreamServer.cls?STREAMOID=hGP0pZtC27w$MH2mNUL0Ls$daE2N3K4ZzOUsqbU5sYsAJYup3yxc$qfcrMciOPH6WCsjLu883Ygn4B49Lvm9bPe2QeMKQdVeZmXF$9l$4uCZ8QDXhaHEp3rvzXRJFdy0KqPHLoMevcTLo3h8xh70Y6N_U_CryOsw6FTOdKL_jpQ-&CONTENTTYPE=image/jpeg,glc,7541,United States,Windsor,1.78429,Vermont,obe,2066,US,NA,h9c5OODjSn,2,Sun Mar 06 2016 22:23:45 GMT+0000 (UTC),4281763033,43.4771,-72.406599999999997,"(43.4771, -72.406599999999997)"
7533,02/27/2016,12:15,,"Simmons Avenue, Bramwell",landslide,Rock_Fall,Unknown,,0,0,Bluefield Daily Telegraph,http://www.bdtonline.com/news/rockslide-blocks-roadway-in-bramwell/article_8bdd8c66-dd89-11e5-9b77-7bccab0b77c1.html,A rockslide has temporarily shut down one lane of Simmons Avenue in Bramwell near the Bramwell Volunteer Fire Department.,Above_road,Known_within_1km,Small,http://bloximages.chicago2.vip.townnews.com/bdtonline.com/content/tncms/assets/v3/editorial/f/63/f6357d8a-dd89-11e5-804e-43ce7ba9fba2/56d1fc203de8a.image.jpg?resize=1200%2C842,glc,7533,United States,Bluewell,5.07093,West Virginia,obe,2184,US,NA,s9KadynMD8,1,Tue Mar 01 2016 00:01:15 GMT+0000 (UTC),580117165,37.328699999999998,-81.313400000000001,"(37.328699999999998, -81.313400000000001)"
7423,09/27/2015,,,Colonia Covias in 15 final street and 31 avenue zone 5,landslide,Landslide,Rain,,0,0,CONRED,http://www.redhum.org/documento_download/17080,,Urban_area,Known_within_1km,Medium,,glc,7423,Guatemala,Guatemala City,1.83863,Guatemala,obe,994938,GT,NA,h9tbrNli0I,2,Fri Feb 05 2016 16:50:17 GMT+0000 (UTC),3858422560,14.621700000000001,-90.495599999999996,"(14.621700000000001, -90.495599999999996)"
6089,06/23/2014,,Nicaragua,El Ayote,landslide,Landslide,Continuous_rain,,0,0,Correspondence with Wilfried Strauch,,,unknown,Exact_location,Small,,glc,6089,Nicaragua,Santo Domingo,31.142420000000001,Chontales,,5827,NI,NA,SJdcDeA7_XatS,1,Sun Aug 24 2014 00:00:00 GMT+0000 (UTC),1,12.3535,-84.8095,"(12.3535, -84.8095)"
7420,09/27/2015,,,Colonia La Barranquilla,landslide,Landslide,Rain,,0,0,CONRED,http://www.redhum.org/documento_download/17080,,Urban_area,Known_within_5km,Medium,,glc,7420,Guatemala,Guatemala City,2.08425,Guatemala,obe,994938,GT,NA,sG5M4zq40N,1,Thu Feb 04 2016 21:44:06 GMT+0000 (UTC),1893779508,14.6219,-90.511899999999997,"(14.6219, -90.511899999999997)"
6101,06/23/2014,,Nicaragua,El Ayote,landslide,Landslide,Continuous_rain,,0,0,Correspondence with Wilfried Strauch,,,unknown,Exact_location,Medium,,glc,6101,Nicaragua,Santo Domingo,32.774009999999997,Chontales,,5827,NI,NA,SJvcswiUaX_tD,1,Sun Aug 24 2014 00:00:00 GMT+0000 (UTC),1,12.352,-84.793199999999999,"(12.352, -84.793199999999999)"
5510,09/12/2013,,United States,"Golden, Co",landslide,Landslide,Rain,,,,google.org,http://google.org/crisismap/2013-boulder-floods,Rockslide,,Known_within_1_km,Medium,,glc,5510,United States,Coal Creek,6.81843,Colorado,Boulder County,2400,US,NA,DJfINGgQ7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,39.883899999999997,-105.30329999999999,"(39.883899999999997, -105.30329999999999)"
