ln_Mass,ln_Brain,Species
4.0,7.19,Recent
3.96,7.23,Recent
3.95,7.26,Recent
4.04,7.23,Recent
4.11,7.22,Recent
4.1,7.24,Recent
4.05,7.27,Recent
4.03,7.26,Recent
4.03,7.27,Recent
4.05,7.35,Recent
4.09,7.35,Recent
4.12,7.35,Recent
4.14,7.34,Recent
4.17,7.33,Recent
4.19,7.31,Recent
4.21,7.27,Recent
4.26,7.28,Recent
4.28,7.32,Recent
4.37,7.33,Recent
4.27,7.33,Recent
4.21,7.33,Recent
4.17,7.36,Recent
4.21,7.38,Recent
4.25,7.35,Recent
4.26,7.37,Recent
4.26,7.39,Recent
4.23,7.42,Recent
4.17,7.44,Recent
4.39,7.54,Recent
4.43,7.48,Recent
4.15,7.15,Neanderthal
4.21,7.17,Neanderthal
4.27,7.21,Neanderthal
4.23,7.35,Neanderthal
4.25,7.47,Neanderthal
4.35,7.4,Neanderthal
4.39,7.38,Neanderthal
4.43,7.35,Neanderthal
4.44,7.43,Neanderthal
