Sort,Year,State,Chlamydia_Count,Chlamydia_Rate,Chlamydia_RankByCount,Chlamydia_RankByRate,Gonorrhea_Count,Gonorrhea_Rate,Gonorrhea_RankByCount,Gonorrhea_RankByRate,Primary_Secondary_Syphilis_Count,Primary_Secondary_Syphilis_Rate,Primary_Secondary_Syphilis_RankByCount,Primary_Secondary_Syphilis_RankByRate
1,2000,Alabama,15323,344.2,14,6,12063,271,12,3,123,2.8,17,13
2,2000,Alaska,2569,409.3,40,2,361,57.5,41,35,0,0,39,
3,2000,Arizona,12591,243.7,21,22,4130,79.9,23,28,189,3.7,13,10
4,2000,Arkansas,6219,232.2,31,25,3642,136,24,17,104,3.9,19,9
5,2000,California,95392,280.5,1,12,21619,63.6,4,32,325,1,9,19
6,2000,Colorado,12000,277.3,22,13,3112,71.9,27,30,11,0.3,31,26
7,2000,Connecticut,7604,222.9,29,28,2912,85.3,29,27,16,0.5,28,24
8,2000,Delaware,2856,363.1,38,4,1735,220.6,32,5,9,1.1,32,18
9,2000,Florida,33390,208,4,33,22781,141.9,3,16,413,2.6,3,14
10,2000,Georgia,29359,356.5,7,5,20265,246.1,5,4,402,4.9,5,6
11,2000,Hawaii,3547,292.5,37,10,483,39.8,40,39,2,0.2,37,27
12,2000,Idaho,1907,146.7,43,42,98,7.5,45,47,1,0.1,38,28
13,2000,Illinois,40350,324.3,3,8,24812,199.4,2,9,412,3.3,4,12
14,2000,Indiana,14063,230.8,17,26,6525,107.1,21,21,351,5.8,7,3
15,2000,Iowa,5987,204.4,33,35,1392,47.5,35,37,11,0.4,31,25
16,2000,Kansas,6056,224.9,32,27,2795,103.8,30,23,6,0.2,33,27
17,2000,Kentucky,8063,199.1,28,36,3502,86.5,25,25,85,2.1,20,15
18,2000,Louisiana,17846,399.3,11,3,13245,296.3,11,2,209,4.7,12,8
19,2000,Maine,1474,115.4,45,46,90,7,46,48,1,0.1,38,28
20,2000,Maryland,14533,273.6,16,15,9837,185.2,15,10,300,5.6,10,5
21,2000,Massachusetts,10967,172.4,23,37,3045,47.9,28,36,68,1.1,24,18
22,2000,Michigan,26237,263.5,9,19,18182,182.6,8,11,330,3.3,8,12
23,2000,Minnesota,8102,164.2,27,39,3160,64,26,31,16,0.3,28,26
24,2000,Mississippi,12697,445.7,20,1,9217,323.5,16,1,137,4.8,14,7
25,2000,Missouri,13448,239.9,18,24,8883,158.5,17,13,29,0.5,27,24
26,2000,Montana,1469,162.6,46,41,60,6.6,49,49,0,0,39,
27,2000,Nebraska,3791,221.3,36,29,1534,89.5,34,24,2,0.1,37,28
28,2000,Nevada,4019,199.1,35,36,1553,76.9,33,29,5,0.2,34,27
29,2000,New Hampshire,1130,91.1,47,48,110,8.9,44,46,2,0.2,37,27
30,2000,New Jersey,10814,128.2,24,44,7232,85.8,19,26,71,0.8,22,21
31,2000,New Mexico,5204,285.7,34,11,1152,63.2,36,33,16,0.9,29,20
32,2000,New York,31494,165.8,5,38,20114,105.9,6,22,132,0.7,15,22
33,2000,North Carolina,21985,272,10,16,17823,220.5,9,6,483,6,2,2
34,2000,North Dakota,909,141.8,48,43,73,11.4,47,43,0,0,39,
35,2000,Ohio,31190,274.5,6,14,19303,169.9,7,12,69,0.6,23,23
36,2000,Oklahoma,9331,270.1,26,17,4229,122.4,22,19,116,3.4,18,11
37,2000,Oregon,7107,207.1,30,34,1038,30.3,37,42,12,0.3,30,26
38,2000,Pennsylvania,26475,215.5,8,32,13607,110.8,10,20,77,0.6,21,23
