ID,Species,Sex,BodyLength,BodyMass
1,Pardosa_ramulosa,M,3.673,0.053
2,Pardosa_ramulosa,M,4.964,0.168
3,Pardosa_ramulosa,M,5.213,0.223
4,Pardosa_ramulosa,M,5.178,0.106
5,Pardosa_ramulosa,M,4.794,0.146
6,Pardosa_ramulosa,M,6.045,0.22
7,Pardosa_ramulosa,M,3.967,0.098
8,Pardosa_ramulosa,M,2.754,0.024
9,Pardosa_ramulosa,M,4.223,0.071
10,Pardosa_ramulosa,M,3.409,0.043
11,Pardosa_ramulosa,M,6.459,0.21
12,Pardosa_ramulosa,M,4.236,0.056
13,Pardosa_ramulosa,M,5.397,0.257
14,Pardosa_ramulosa,M,5.547,0.137
15,Pardosa_ramulosa,M,4,0.122
16,Pardosa_ramulosa,M,4.443,0.07
17,Pardosa_ramulosa,M,5.792,0.212
18,Pardosa_ramulosa,M,7.136,0.62
19,Pardosa_ramulosa,M,7.134,0.167
20,Pardosa_ramulosa,M,3.842,0.052
21,Pardosa_ramulosa,M,5.472,0.116
22,Pardosa_ramulosa,M,3.598,0.083
23,Pardosa_ramulosa,M,7.743,0.415
24,Pardosa_ramulosa,M,3.676,0.051
25,Pardosa_ramulosa,M,6.05,0.346
26,Pardosa_ramulosa,M,4.773,0.12
27,Pardosa_ramulosa,M,5.338,0.202
28,Pardosa_ramulosa,M,5.768,0.259
29,Pardosa_ramulosa,M,4.475,0.058
30,Pardosa_ramulosa,M,4.916,0.096
31,Pardosa_ramulosa,M,5.868,0.186
32,Pardosa_ramulosa,M,6.877,0.448
33,Pardosa_ramulosa,M,3.784,0.044
34,Pardosa_ramulosa,M,6.515,0.409
35,Pardosa_ramulosa,M,4.948,0.119
36,Pardosa_ramulosa,M,4.231,0.093
37,Pardosa_ramulosa,M,5.998,0.224
38,Pardosa_ramulosa,M,3.052,0.021
39,Pardosa_ramulosa,M,4.131,0.059
40,Pardosa_ramulosa,M,3.626,0.04
41,Pardosa_ramulosa,M,4.976,0.117
42,Pardosa_ramulosa,M,4.147,0.066
43,Pardosa_ramulosa,M,7.176,0.337
44,Pardosa_ramulosa,M,5.869,0.331
45,Pardosa_ramulosa,M,4.816,0.128
46,Pardosa_ramulosa,M,6.229,0.151
47,Pardosa_ramulosa,M,3.666,0.05
48,Pardosa_ramulosa,M,5.307,0.158
49,Pardosa_ramulosa,M,6.046,0.196
50,Pardosa_ramulosa,M,5.365,0.106
51,Pardosa_ramulosa,F,6.436,0.319
52,Pardosa_ramulosa,F,5.925,0.464
53,Pardosa_ramulosa,F,4.586,0.067
54,Pardosa_ramulosa,F,6.907,0.251
55,Pardosa_ramulosa,F,6.116,0.112
56,Pardosa_ramulosa,F,7.908,0.254
57,Pardosa_ramulosa,F,6.043,0.251
58,Pardosa_ramulosa,F,6.799,0.201
59,Pardosa_ramulosa,F,5.142,0.16
60,Pardosa_ramulosa,F,4.936,0.096
61,Pardosa_ramulosa,F,3.844,0.045
62,Pardosa_ramulosa,F,5.702,0.194
63,Pardosa_ramulosa,F,5.499,0.17
64,Pardosa_ramulosa,F,8.093,0.441
65,Pardosa_ramulosa,F,5.884,0.219
66,Pardosa_ramulosa,F,5.776,0.186
67,Pardosa_ramulosa,F,7.634,0.328
68,Pardosa_ramulosa,F,7.355,0.282
69,Pardosa_ramulosa,F,6.466,0.19
70,Pardosa_ramulosa,F,6.27,0.473
71,Pardosa_ramulosa,F,5.903,0.197
72,Pardosa_ramulosa,F,4.456,0.116
73,Pardosa_ramulosa,F,6.669,0.549
74,Pardosa_ramulosa,F,7.239,0.532
75,Pardosa_ramulosa,F,6.521,0.433
76,Pardosa_ramulosa,F,5.969,0.187
77,Pardosa_ramulosa,F,6.088,0.278
78,Pardosa_ramulosa,F,5.27,0.098
79,Pardosa_ramulosa,F,6.124,0.259
80,Pardosa_ramulosa,F,6.693,0.148
81,Pardosa_ramulosa,F,6.147,0.246
82,Pardosa_ramulosa,F,5.973,0.212
83,Pardosa_ramulosa,F,6.304,0.233
84,Pardosa_ramulosa,F,7.106,0.308
85,Pardosa_ramulosa,F,6.315,0.323
86,Pardosa_ramulosa,F,4.976,0.091
87,Pardosa_ramulosa,F,7.086,0.277
88,Pardosa_ramulosa,F,6.932,0.241
89,Pardosa_ramulosa,F,7.64,0.189
90,Pardosa_ramulosa,F,5.68,0.162
91,Pardosa_ramulosa,F,8.636,0.876
92,Pardosa_ramulosa,F,5.068,0.104
93,Pardosa_ramulosa,F,6.07,0.124
94,Pardosa_ramulosa,F,6.952,0.366
95,Pardosa_ramulosa,F,4.854,0.053
96,Pardosa_ramulosa,F,5.33,0.251
97,Pardosa_ramulosa,F,5.684,0.089
98,Pardosa_ramulosa,F,5.999,0.193
99,Pardosa_ramulosa,F,4.612,0.156
100,Pardosa_ramulosa,F,5.656,0.126
101,Nephila_clavipes,M,22.114,6.36
102,Nephila_clavipes,M,20.47,12.14
103,Nephila_clavipes,M,19.125,6.38
104,Nephila_clavipes,M,22.503,3.91
105,Nephila_clavipes,M,11.716,2
106,Nephila_clavipes,M,19.096,12.81
107,Nephila_clavipes,M,21.411,2.43
108,Nephila_clavipes,M,18.88,7.68
109,Nephila_clavipes,M,22.535,11.57
110,Nephila_clavipes,M,15.601,2.93
111,Nephila_clavipes,M,18.925,6.29
112,Nephila_clavipes,M,20.975,4.77
113,Nephila_clavipes,M,20.43,11.27
114,Nephila_clavipes,M,14.407,2.62
115,Nephila_clavipes,M,21.798,6.18
116,Nephila_clavipes,M,16.16,3.22
117,Nephila_clavipes,M,18.775,8.58
118,Nephila_clavipes,M,20.371,10.72
119,Nephila_clavipes,M,15.476,1.63
120,Nephila_clavipes,M,20.688,4.31
121,Nephila_clavipes,M,22.247,8.28
122,Nephila_clavipes,M,14.396,4.09
123,Nephila_clavipes,M,21.568,16.25
124,Nephila_clavipes,M,18.355,4.21
125,Nephila_clavipes,M,16.153,7.63
126,Nephila_clavipes,M,18.64,4.8
127,Nephila_clavipes,M,18.353,1.37
128,Nephila_clavipes,M,17.984,9.1
