Line,WellC,PLATE,RIL,Treat,Lipid.per.Fly
100C,B4,LAMBDA2,100,C,0.772560937
100C,B9,LAMBDA2,100,C,0.597241518
100DR,C4,LAMBDA2,100,DR,0.497058993
100DR,C9,LAMBDA2,100,DR,0.4219221
100HS,A4,LAMBDA2,100,HS,0.841436423
100HS,A9,LAMBDA2,100,HS,0.866482054
101C,F2,EPSILON 1,101,C,0.540888848
101C,F7,EPSILON 1,101,C,0.503320401
101DR,F3,EPSILON 1,101,DR,0.728731082
101DR,F8,EPSILON 1,101,DR,0.597241518
101HS,F1,EPSILON 1,101,HS,1.041801473
101HS,F6,EPSILON 1,101,HS,1.404963126
102C,G2,EPSILON 1,102,C,0.522104625
102C,G7,EPSILON 1,102,C,0.146420156
102DR,G3,EPSILON 1,102,DR,0.547150256
102DR,G8,EPSILON 1,102,DR,0.22155705
102HS,G1,EPSILON 1,102,HS,0.584718703
102HS,G6,EPSILON 1,102,HS,0.709946859
104C,B2,THETA 1,104,C,1.373656087
104C,B7,THETA 1,104,C,1.07936992
104DR,B3,THETA 1,104,DR,1.035540065
104DR,B8,THETA 1,104,DR,0.828913607
104HS,B1,THETA 1,104,HS,0.540888848
104HS,B6,THETA 1,104,HS,0.146420156
106C,C1,LAMBDA1,106,C,0.697424043
106C,C6,LAMBDA1,106,C,0.860220646
106DR,C3,LAMBDA1,106,DR,0.509581809
106DR,C8,LAMBDA1,106,DR,0.459490547
106HS,C2,LAMBDA1,106,HS,0.390615061
106HS,C7,LAMBDA1,106,HS,0.096328894
108C,B5,THETA 1,108,C,0.428183508
108C,B10,THETA 1,108,C,0.234079866
108DR,B1,THETA 2,108,DR,0.384353653
108DR,B6,THETA 2,108,DR,0.547150256
108HS,B4,THETA 1,108,HS,0.609764334
108HS,B9,THETA 1,108,HS,0.440706323
109C,H2,EPSILON 1,109,C,0.371830837
109C,H7,EPSILON 1,109,C,0.302955351
109DR,H3,EPSILON 1,109,DR,0.246602681
109DR,H8,EPSILON 1,109,DR,0.234079866
109HS,H1,EPSILON 1,109,HS,0.578457295
109HS,H6,EPSILON 1,109,HS,0.747515306
112C,B3,THETA 2,112,C,1.924659974
112C,B8,THETA 2,112,C,0.835175015
112DR,B4,THETA 2,112,DR,0.409399284
112DR,B9,THETA 2,112,DR,0.4219221
112HS,B2,THETA 2,112,HS,0.4219221
112HS,B7,THETA 2,112,HS,0.603502926
113C,A8,PLATE1,113,C,0.96040317100000006
113C,NA,PLATE1,113,C,1.611589583
113DR,A9,PLATE1,113,DR,1.304780601
113DR,NA,PLATE1,113,DR,0.572195887
113HS,A7,PLATE1,113,HS,0.440706323
113HS,NA,PLATE1,113,HS,0.503320401
114C,C1,THETA 1,114,C,0.503320401
114C,C6,THETA 1,114,C,0.62228715
114DR,C2,THETA 1,114,DR,0.328000983
114DR,C7,THETA 1,114,DR,1.07936992
114HS,B5,THETA 2,114,HS,0.891527685
114HS,B10,THETA 2,114,HS,0.753776714
115C,A5,EPSILON 1,115,C,0.490797586
115C,A10,EPSILON 1,115,C,0.384353653
115DR,A1,EPSILON 2,115,DR,0.340523798
115DR,A6,EPSILON 2,115,DR,0.584718703
115HS,A4,EPSILON 1,115,HS,0.64107137300000006
115HS,A9,EPSILON 1,115,HS,1.035540065
118C,D1,LAMBDA1,118,C,0.835175015
118C,D6,LAMBDA1,118,C,0.914646501
118DR,D3,LAMBDA1,118,DR,1.224586187
118DR,D8,LAMBDA1,118,DR,0.954141763
118HS,D2,LAMBDA1,118,HS,1.242166523
118HS,D7,LAMBDA1,118,HS,1.327899416
119C,B5,EPSILON 1,119,C,1.487565315
119C,B10,EPSILON 1,119,C,0.867685942
119DR,B1,EPSILON 2,119,DR,1.149449294
119DR,B6,EPSILON 2,119,DR,1.010494434
119HS,B4,EPSILON 1,119,HS,1.041801473
119HS,B9,EPSILON 1,119,HS,1.223382299
120C,F1,LAMBDA1,120,C,1.285996377
120C,F6,LAMBDA1,120,C,0.860220646
120DR,F3,LAMBDA1,120,DR,0.910311909
120DR,F8,LAMBDA1,120,DR,1.027351842
120HS,F2,LAMBDA1,120,HS,1.205801964
120HS,F7,LAMBDA1,120,HS,0.941618948
121C,B1,PLATE1,121,C,1.154506813
121C,NA,PLATE1,121,C,0.80194116
121DR,B2,PLATE1,121,DR,1.027351842
121DR,NA,PLATE1,121,DR,1.13066507
121HS,A10,PLATE1,121,HS,1.224586187
121HS,NA,PLATE1,121,HS,0.753776714
123C,B4,PLATE1,123,C,0.691162635
123C,NA,PLATE1,123,C,1.619054879
123DR,B5,PLATE1,123,DR,1.619054879
123DR,NA,PLATE1,123,DR,1.168233517
123HS,B3,PLATE1,123,HS,1.111880847
123HS,NA,PLATE1,123,HS,1.581486432
124DR,C5,THETA 1,124,DR,1.229643707
124DR,C10,THETA 1,124,DR,0.847697831
124HS,C3,THETA 1,124,HS,0.860220646
124HS,C8,THETA 1,124,HS,0.96040317100000006
125C,B7,PLATE1,125,C,1.141983998
125C,NA,PLATE1,125,C,0.985448802
125DR,B8,PLATE1,125,DR,0.772560937
125DR,NA,PLATE1,125,DR,1.085631327
125HS,B6,PLATE1,125,HS,1.198336668
125HS,NA,PLATE1,125,HS,0.747515306
129C,B3,LAMBDA2,129,C,1.098154143
129C,B8,LAMBDA2,129,C,1.085631327
129HS,A3,LAMBDA2,129,HS,1.010494434
129HS,A8,LAMBDA2,129,HS,1.580282544
131DR,G3,DELTA 1,131,DR,0.952214948
131DR,G8,DELTA 1,131,DR,0.867685942
132C,C1,ZETA 1,132,C,1.210859484
132C,C6,ZETA 1,132,C,0.703685451
132DR,C3,ZETA 1,132,DR,0.698627932
132DR,C8,ZETA 1,132,DR,1.712975996
132HS,C2,ZETA 1,132,HS,1.900818231
132HS,C7,ZETA 1,132,HS,0.783156937
134DR,C1,PLATE1,134,DR,1.102488735
134DR,NA,PLATE1,134,DR,1.835073449
134HS,B9,PLATE1,134,HS,1.910210342
134HS,NA,PLATE1,134,HS,0.941618948
135C,C5,EPSILON 1,135,C,1.116938366
135C,C10,EPSILON 1,135,C,1.290330969
135DR,C1,EPSILON 2,135,DR,1.299723081
135DR,C6,EPSILON 2,135,DR,1.724294924
135HS,C4,EPSILON 1,135,HS,1.830738856
135HS,C9,EPSILON 1,135,HS,1.029278657
136C,C3,PLATE1,136,C,1.016755841
136C,NA,PLATE1,136,C,0.941618948
136DR,C4,PLATE1,136,DR,0.947880356
136DR,NA,PLATE1,136,DR,1.440604757
136HS,C2,PLATE1,136,HS,1.684799661
136HS,NA,PLATE1,136,HS,1.210859484
137C,E5,EPSILON 2,137,C,1.292257785
137C,E10,EPSILON 2,137,C,1.121272959
137DR,F2,EPSILON 2,137,DR,1.290330969
137DR,F7,EPSILON 2,137,DR,1.304780601
137HS,E4,EPSILON 2,137,HS,1.323564824
137HS,E9,EPSILON 2,137,HS,1.586543952
139C,C6,PLATE1,139,C,2.394265559
139C,NA,PLATE1,139,C,1.718033516
139DR,C7,PLATE1,139,DR,0.653594189
139DR,NA,PLATE1,139,DR,0.916573317
139HS,C5,PLATE1,139,HS,1.060585696
139HS,NA,PLATE1,139,HS,1.254689338
140C,H1,LAMBDA1,140,C,1.041801473
140C,H6,LAMBDA1,140,C,0.609764334
140DR,H3,LAMBDA1,140,DR,1.329826232
