plot_no,subplot,species
1,1,poapra
1,1,cortri
1,1,andger
1,2,poapra
1,2,andger
1,2,solcan
1,2,achmil
1,2,cortri
1,2,pendig
1,3,andger
1,3,schsco
1,3,solcan
1,3,poapra
1,4,solspe
1,4,solrig
1,4,sornut
1,4,poapra
1,4,andger
1,5,cortri
1,5,achmil
1,5,poapra
1,5,solcan
1,5,andger
1,6,poapra
1,6,solcan
1,6,sornut
1,6,solspe
1,6,schsco
1,6,andger
1,6,monfis
1,7,solcan
1,7,poapra
1,7,sornut
1,7,schsco
1,7,achmil
1,7,pendig
1,7,andger
1,8,solcan
1,8,solrig
1,8,sornut
1,8,poapra
1,8,schsco
1,8,andger
1,8,monfis
2,1,poapra
2,1,sornut
2,1,helhir
2,1,pendig
2,1,taroff
2,1,schsco
2,1,helhel
2,2,poapra
2,2,helhir
2,2,solcan
2,2,sornut
2,3,poapra
2,3,solcan
2,3,cortri
2,3,astool
2,3,parqui
2,3,sornut
2,3,andger
2,4,parqui
2,4,poapra
2,4,helhir
2,4,solcan
2,4,achmil
2,4,andger
2,4,sornut
2,5,symlae
2,5,poapra
2,5,schsco
2,5,sornut
2,5,astool
2,5,helhir
2,6,poapra
2,6,achmil
2,6,solrig
2,6,helhir
2,6,helhel
2,6,andger
2,6,sornut
2,6,solcan
2,7,schsco
2,7,andger
2,7,poapra
2,8,poapra
2,8,descan
2,8,andger
2,8,monfis
2,8,cortri
2,8,helhir
3,1,poapra
3,1,solcan
3,2,poapra
3,2,andger
3,3,schsco
3,3,poapra
3,3,sornut
3,4,helhir
3,4,poapra
3,4,achmil
3,4,andger
3,5,poapra
3,5,traohi
3,5,andger
3,5,monfis
3,6,poapra
3,6,helhir
3,6,cortri
3,6,andger
3,7,poapra
3,7,sornut
3,7,solcan
3,8,traohi
3,8,solcan
3,8,poapra
7,1,symlan
7,1,poapra
7,2,monfis
7,2,symool
7,2,achmil
7,3,poapra
7,3,sornut
7,3,solcan
7,4,poapra
7,4,solcan
7,5,poapra
7,5,solcan
7,5,symnov
7,5,solrig
7,5,monfis
7,6,solcan
7,6,poapra
7,7,poapra
7,7,solcan
7,7,solrig
7,8,poapra
7,8,elycan
8,1,poapra
8,1,solcan
8,1,helhir
8,1,monfis
8,1,symser
8,1,solrig
8,2,poapra
8,2,helhir
8,2,monfis
8,2,solrig
8,2,pendig
8,2,schsco
8,3,poapra
8,3,symool
8,3,symlae
8,3,monfis
8,3,solcan
8,3,helhir
8,4,poapra
8,4,helhir
8,4,monfis
8,4,symlae
8,5,poapra
8,5,helhir
8,5,monfis
8,5,symser
8,5,solrig
8,6,poapra
8,6,helhir
8,6,monfis
8,6,poapra
8,7,poapra
8,7,symlae
8,7,carexspp
8,7,helhir
8,7,monfis
8,7,astool
8,7,astsag
8,8,poapra
8,8,monfis
8,8,helhir
8,8,rudhir
11,1,artlud
11,1,poapra
11,1,solcan
11,2,poapra
11,2,solcan
11,3,poapra
11,3,solrig
11,3,solcan
11,4,poapra
11,4,elycan
11,4,solcan
11,5,poapra
11,5,monfis
11,5,solcan
11,6,poapra
11,6,solcan
11,6,elycan
11,7,poapra
11,7,solcan
11,8,poapra
11,8,monfis
11,8,solcan
12,1,poapra
12,1,monfis
12,1,helhir
12,1,astsag
12,2,poapra
12,2,solcan
12,2,monfis
12,3,monfis
12,3,poapra
12,3,solcan
12,3,artlud
12,4,stispa
12,4,poapra
12,4,helhir
12,4,monfis
12,4,schsco
12,4,koelmac
12,5,poapra
12,5,solcan
12,5,monfis
12,5,traohi
12,5,pendig
12,5,sympil
12,6,symlan
12,6,poapra
12,6,helhir
12,6,monfis
12,7,poapra
12,7,solcan
12,7,helhir
12,7,monfis
12,7,burinc
12,7,achmil
12,7,solrig
12,8,poapra
12,8,solcan
12,8,monfis
12,8,elycan
12,8,schscho
12,8,traohi
12,8,setfab
13,1,poapra
13,1,monfis
13,1,solcan
13,2,poapra
13,2,achmil
13,2,monfis
13,3,schsco
13,3,solcan
13,4,helhir
13,4,solcan
13,4,monfis
13,5,poapra
13,5,solcan
13,5,monfis
13,5,helhir
13,6,poapra
13,6,helhir
13,6,solcan
13,7,poapra
13,7,solcan
13,7,monfis
13,8,poapra
13,8,solcan
14,1,poapra
14,1,solcan
14,1,helhir
14,2,poapra
14,2,andger
14,2,monfis
14,2,helhir
14,2,sornut
14,2,solrig
14,2,schsco
14,3,astool
14,3,poapra
14,3,sornut
14,3,andger
14,4,poapra
14,4,cortri
14,4,helhir
14,4,andger
14,4,astool
14,4,solrig
14,5,poapra
14,5,heuric
14,5,monfis
14,5,helhir
14,5,solcan
14,6,poapra
14,6,astsag
14,6,solcan
14,6,vervir
14,6,monfis
14,6,achmil
14,7,poapra
14,7,potnor
14,7,astsag
14,7,solspe
14,7,helhir
14,7,monfis
14,7,dicspp
14,7,achmil
14,8,poapra
14,8,muhspp
14,8,rudhir
14,8,helhir
14,8,solcan
14,8,setpum
14,8,solrig
16,1,poapra
16,1,monfis
16,1,astsag
16,1,solcan
16,1,helhir
16,2,poapra
16,2,solcan
16,2,helhir
16,2,monfis
16,2,astsag
16,2,achmil
16,2,lialig
16,3,poapra
16,3,astool
16,3,monfis
16,3,andger
16,3,achmil
16,3,helhir
16,4,rudhir
16,4,poapra
16,4,achmil
16,4,astsag
16,4,andger
16,4,sornut
16,5,poapra
16,5,achmil
16,5,astsag
16,5,solspe
16,5,sornut
16,5,andger
16,5,symlan
16,5,potnor
16,6,poapra
16,6,monfis
16,6,rudhir
16,6,astsag
16,6,achmil
16,7,poapra
16,7,solcan
16,7,andger
16,8,poapra
16,8,elycan
16,8,monfis
16,8,ratpin
16,8,helhir
16,8,solrig
16,8,symlae
16,8,lescap
21,1,poapra
21,1,helhir
21,1,monfis
21,2,poapra
21,2,helhir
21,2,monfis
21,3,poapra
21,3,monfis
21,3,elycan
21,4,helhel
21,4,poapra
21,4,monfis
21,4,symnov 
21,4,solcan
21,4,helhir
21,5,poapra
21,5,monfis
21,5,helhir
21,6,poapra
21,7,astsag
21,7,achmil
21,7,solrig
21,8,poapra
21,8,achmil
21,8,solrig
21,8,monfis
21,8,desill
22,1,poapra
22,1,elycan
22,2,helhel
22,2,poapra
22,2,elycan
22,3,poapra
22,3,solcan
22,3,monfis
22,4,poapra
22,4,solcan
22,4,monfis
22,5,poapra
22,5,solcan
22,5,elycan
22,6,poapra
22,7,solcan
22,7,monfis
22,7,elycan
22,8,poapra
22,8,monfis
22,8,solcan
