plot_no,subplot,rain_removal,light_at_groundlevel,biomass
1,1,high,90,531
1,2,high,92,530
1,3,high,102,623
1,4,high,57,574
1,5,high,129,75
1,6,high,82,616
1,7,high,151,526
1,8,high,54,341
2,1,high,91,426
2,2,high,96,94
2,3,high,117,539
2,4,high,108,328
2,5,high,51,303
2,6,high,108,532
2,7,high,130,290
2,8,high,82,309
8,1,high,53,33
8,2,high,34,205
8,3,high,115,272
8,4,high,84,519
8,5,high,86,425
8,6,high,167,339
8,7,high,101,659
8,8,high,76,455
12,1,high,98,505
12,2,high,105,394
12,3,high,88,200
12,4,high,41,263
12,5,high,46,354
12,6,high,79,370
12,7,high,54,543
12,8,high,68,883
14,1,high,81,374
14,2,high,101,328
14,3,high,121,471
14,4,high,117,524
14,5,high,128,908
14,6,high,83,435
14,7,high,98,471
14,8,high,54,447
16,1,high,83,433
16,2,high,130,473
16,3,high,67,319
16,4,high,113,-28
16,5,high,66,450
16,6,high,119,210
16,7,high,99,352
16,8,high,116,321
3,1,low,43,784
3,2,low,38,624
3,3,low,36,560
3,4,low,47,683
3,5,low,46,646
3,6,low,41,676
3,7,low,39,601
3,8,low,40,658
7,1,low,46,745
7,2,low,45,627
7,3,low,37,472
7,4,low,38,867
7,5,low,37,769
7,6,low,32,810
7,7,low,49,729
7,8,low,38,759
11,1,low,50,868
11,2,low,42,708
11,3,low,37,813
11,4,low,40,681
11,5,low,40,760
11,6,low,38,639
11,7,low,35,701
11,8,low,36,904
13,1,low,36,818
13,2,low,45,574
13,3,low,33,624
13,4,low,38,605
13,5,low,37,741
13,6,low,30,746
13,7,low,42,596
13,8,low,32,677
21,1,low,36,633
21,2,low,41,604
21,3,low,39,613
21,4,low,41,690
21,5,low,41,628
21,6,low,46,515
21,7,low,38,835
21,8,low,35,764
22,1,low,36,780
22,2,low,39,627
22,3,low,42,556
22,4,low,25,655
22,5,low,33,827
22,6,low,39,837
22,7,low,40,803
22,8,low,42,806
