"plot"	"treatment"	"richness"
"1"	"burned"	5
"1"	"burned"	7
"1"	"burned"	5
"1"	"burned"	3
"1"	"burned"	4
"2"	"burned"	9
"2"	"burned"	9
"2"	"burned"	10
"2"	"burned"	11
"2"	"burned"	10
"3"	"burned"	5
"3"	"burned"	4
"3"	"burned"	5
"3"	"burned"	3
"3"	"burned"	4
"4"	"burned"	1
"4"	"burned"	2
"4"	"burned"	2
"4"	"burned"	3
"4"	"burned"	2
"5"	"burned"	4
"5"	"burned"	3
"5"	"burned"	2
"5"	"burned"	3
"5"	"burned"	5
"6"	"burned"	4
"6"	"burned"	5
"6"	"burned"	2
"6"	"burned"	5
"6"	"burned"	5
"7"	"burned"	8
"7"	"burned"	8
"7"	"burned"	7
"7"	"burned"	8
"7"	"burned"	6
"8"	"burned"	6
"8"	"burned"	5
"8"	"burned"	6
"8"	"burned"	5
"8"	"burned"	5
"9"	"burned"	5
"9"	"burned"	5
"9"	"burned"	4
"9"	"burned"	7
"9"	"burned"	6
"10"	"burned"	7
"10"	"burned"	6
"10"	"burned"	6
"10"	"burned"	7
"10"	"burned"	7
"11"	"unburned"	5
"11"	"unburned"	6
"11"	"unburned"	5
"11"	"unburned"	2
"11"	"unburned"	5
"12"	"unburned"	3
"12"	"unburned"	2
"12"	"unburned"	4
"12"	"unburned"	5
"12"	"unburned"	4
"13"	"unburned"	6
"13"	"unburned"	5
"13"	"unburned"	5
"13"	"unburned"	6
"13"	"unburned"	5
"14"	"unburned"	11
"14"	"unburned"	10
"14"	"unburned"	12
"14"	"unburned"	11
"14"	"unburned"	11
"15"	"unburned"	6
"15"	"unburned"	5
"15"	"unburned"	4
"15"	"unburned"	5
"15"	"unburned"	5
"16"	"unburned"	10
"16"	"unburned"	8
"16"	"unburned"	8
"16"	"unburned"	8
"16"	"unburned"	9
"17"	"unburned"	9
"17"	"unburned"	8
"17"	"unburned"	9
"17"	"unburned"	8
"17"	"unburned"	9
"18"	"unburned"	6
"18"	"unburned"	5
"18"	"unburned"	5
"18"	"unburned"	7
"18"	"unburned"	5
"19"	"unburned"	6
"19"	"unburned"	5
"19"	"unburned"	6
"19"	"unburned"	5
"19"	"unburned"	5
"20"	"unburned"	6
"20"	"unburned"	8
"20"	"unburned"	8
"20"	"unburned"	5
"20"	"unburned"	7
